
2023/09/10 (13:25:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (11:36:00) | ===> btop++ v.1.2.13
2023/09/23 (11:36:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (11:42:17) | ===> btop++ v.1.2.13
2023/09/23 (11:42:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (11:42:35) | ===> btop++ v.1.2.13
2023/09/23 (11:42:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (11:43:16) | ===> btop++ v.1.2.13
2023/09/23 (11:43:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (11:50:39) | ===> btop++ v.1.2.13
2023/09/23 (11:50:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (11:57:41) | ===> btop++ v.1.2.13
2023/09/23 (11:57:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (12:25:28) | ===> btop++ v.1.2.13
2023/09/23 (12:25:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/23 (14:54:12) | ===> btop++ v.1.2.13
2023/09/23 (14:54:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/24 (20:24:23) | ===> btop++ v.1.2.13
2023/09/24 (20:24:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/29 (16:16:21) | ===> btop++ v.1.2.13
2023/09/29 (16:16:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/09/29 (16:34:18) | ===> btop++ v.1.2.13
2023/09/29 (16:34:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/05 (22:07:47) | ===> btop++ v.1.2.13
2023/10/05 (22:07:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/05 (22:13:10) | ===> btop++ v.1.2.13
2023/10/05 (22:13:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/05 (22:14:29) | ===> btop++ v.1.2.13
2023/10/05 (22:14:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/10/05 (22:14:35) | ===> btop++ v.1.2.13
2023/10/05 (22:14:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/20 (13:55:51) | ===> btop++ v.1.2.13
2023/12/20 (13:55:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/20 (14:04:54) | ===> btop++ v.1.2.13
2023/12/20 (14:04:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/20 (14:09:27) | ===> btop++ v.1.2.13
2023/12/20 (14:09:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/20 (14:09:42) | ===> btop++ v.1.2.13
2023/12/20 (14:09:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/20 (14:10:02) | ===> btop++ v.1.2.13
2023/12/20 (14:10:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/12/20 (14:10:31) | ===> btop++ v.1.2.13
2023/12/20 (14:10:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/02 (14:36:26) | ===> btop++ v.1.2.13
2024/02/02 (14:36:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/02 (16:41:48) | ===> btop++ v.1.2.13
2024/02/02 (16:41:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/02 (17:34:12) | ===> btop++ v.1.2.13
2024/02/02 (17:34:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/02/15 (14:07:10) | ===> btop++ v.1.2.13
2024/02/15 (14:07:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/11 (15:01:20) | ===> btop++ v.1.2.13
2024/05/11 (15:01:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/11 (16:34:56) | ===> btop++ v.1.2.13
2024/05/11 (16:34:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/14 (15:01:30) | ===> btop++ v.1.2.13
2024/05/14 (15:01:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/14 (20:31:44) | ===> btop++ v.1.3.2
2024/05/14 (20:31:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/05/14 (21:09:39) | ===> btop++ v.1.3.2
2024/05/14 (21:09:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
